Q,A,label
최근 7일내 대구대 공지사항 알고 있어?, 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 공지사항 알려줘 ,7일간 공지사항 입니다. D7 ,0
최근 7일내에  대구대 공지 알려줘, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 대구대 공지사항, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 대구대 공지, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일간 대구대 공지 알려줘, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일간 공지사항 알려줘, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일간 대구대 공지사항 알고 있어?, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일내에 대구대 공지사항 알고 있어?, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
1주내에 대구대 공지사항, 네 최근 1주내에 대구대 공지사항 입니다. D7 ,0
대구대 공지사항을 1주일치 보여줘, 네 1주간 대구대 공지사항 입니다. D7 ,0
대구대 공지사항 보여줘, 네 1주간 대구대 공지사항 입니다. D7 ,0
오늘 대구대 공지사항 알고 있어?, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 공지사항 알려줘, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘  대구대 공지 알려줘, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대구대 공지사항, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대구대 공지, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 공지사항 알려줘, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대구대 공지사항 알고 있어?, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대구대 공지사항 알고 있니?, 네 오늘 대구대 공지사항 입니다. D0 ,0
어제 대구대 공지사항 알고 있어?, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 공지사항 알려줘, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지 알려줘, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지사항, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 공지사항 알려줘, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지사항 알고 있어?, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지사항 알고 있니?, 네 어제 대구대 공지사항 입니다. D-1 ,0
10일간 대구대 공지사항 알고 있어?, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일동안 공지사항 알려줘, 네 10일동안 대구대 공지사항 입니다. D10 ,0
10일간 대구대 공지 알려줘, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일간 대구대 공지사항, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일간 대구대 공지, 네 10일간  대구대 공지사항 입니다. D10 ,0
10일간 공지사항 알려줘, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일간 대구대 공지사항 알고 있어?, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일치 공지사항 알려줘, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일치 대구대 공지사항 알고 있어?, 네 10일치 대구대 공지사항 입니다. D10 ,0
열흘치 대구대 공지사항 알고 있어?, 네 열흘치 대구대 공지사항 입니다. D10 ,0
2주간 대구대 공지사항 알고 있어?, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 공지사항 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주동안 대구대 공지 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 대구대 공지사항, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주동안 대구대 공지, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 공지사항 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주동안 대구대 공지사항 알고 있어?, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주내에 공지사항 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주치 대구대 공지사항 알고 있어?, 네 2주치 대구대 공지사항 입니다. D14 ,0
최근 7일내 대구대학교 공지사항 알고 있어?, 네 최근 7일간 대구대학교 공지사항 입니다.  D7 ,0
최근 7일내 공지사항 알려줘 ,네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
최근 7일내에  대구대학교 공지 알려줘, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
최근 7일내 대구대학교 공지사항, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
