,분류,제목,날짜,주소,,,,,,,,,
600,AI학부 공지사항,2023학년도 2학기 사물함 신청 안내,2023-09-04,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455920&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
601,AI학부 공지사항,2023 DU JOB GREAT FESTIVAL 안내,2023-09-01,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455804&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
602,AI학부 공지사항,2023학년도 2학기 장학재단 장학생 선발 안내,2023-08-31,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455773&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
603,AI학부 공지사항,2023학년도 제2학기 캡스톤디자인 과제 지원사업 안내..,2023-08-31,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455697&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
604,AI학부 공지사항,2023학년도 제2학기 조기졸업 신청 안내,2023-08-29,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455498&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
605,AI학부 공지사항,2023학년도 2학기 수강포기 실시 안내,2023-08-24,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455322&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
606,AI학부 공지사항,[대학혁신] 2023학년도 2학기 영어클리닉 실시 안내..,2023-08-24,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455301&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
607,AI학부 공지사항,2023학년도 2학기 공통교양 영어교과목 이수면제 신청 안내..,2023-08-23,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455203&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
608,AI학부 공지사항,2023-2학기 유고결석 처리 안내,2023-08-22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455122&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
609,AI학부 공지사항,2023-2학기 수강변경(정정) 및 수강허가서 온라인 신청 안내..,2023-08-22,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455135&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
610,AI학부 공지사항,「2023 서울시 인공지능(AI) 아이디어」공모전 홍보..,2023-08-21,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=455055&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
611,AI학부 공지사항,2023 제1회 철도 인공지능 경진대회 안내,2023-07-26,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=454350&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
612,AI학부 공지사항,2023-2학기 휴학(휴학연기)/ 복학 신청기간 안내,2023-07-21,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=454200&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
613,AI학부 공지사항,"[군제대복학, 일반복학 학생 관련] AI학부 개편에 따른 전공배정 신..",2023-07-18,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=453859&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
614,AI학부 공지사항,2022학년도 후기 (2023년 8월) 학위수여 예정자 중 포상후보자 추천..,2023-07-13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=453415&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
615,AI학부 공지사항,2023학년도 제1학기 학사학위취득 유예(졸업연기) 신규 및 기간변경..,2023-07-13,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=453403&page=1&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
